max_depth,subsample,colsample_bytree,n_estimators,gamma,learning_rate,brier_score
2,0.8,0.8,100,0,0.01,0.16730358084387698
2,0.8,0.8,100,0,0.1,0.14367133251541847
2,0.8,0.8,100,0,0.3,0.15609862533191557
2,0.8,0.8,100,0.1,0.01,0.16730358084387698
2,0.8,0.8,100,0.1,0.1,0.14367133251541847
2,0.8,0.8,100,0.1,0.3,0.15609862533191557
2,0.8,0.8,100,0.2,0.01,0.16730358084387698
2,0.8,0.8,100,0.2,0.1,0.14368961300310154
2,0.8,0.8,100,0.2,0.3,0.15753124997682455
2,0.8,0.8,200,0,0.01,0.15122603501277437
2,0.8,0.8,200,0,0.1,0.1472604021832878
2,0.8,0.8,200,0,0.3,0.1649583952760226
2,0.8,0.8,200,0.1,0.01,0.15122603501277437
2,0.8,0.8,200,0.1,0.1,0.1476580755562144
2,0.8,0.8,200,0.1,0.3,0.16442339537469725
2,0.8,0.8,200,0.2,0.01,0.15122603501277437
2,0.8,0.8,200,0.2,0.1,0.14767432876657685
2,0.8,0.8,200,0.2,0.3,0.16487406146210645
2,0.8,0.8,300,0,0.01,0.14676985517613889
2,0.8,0.8,300,0,0.1,0.15210817957701622
2,0.8,0.8,300,0,0.3,0.17452547244288025
2,0.8,0.8,300,0.1,0.01,0.14676985517613889
2,0.8,0.8,300,0.1,0.1,0.15299191702859974
2,0.8,0.8,300,0.1,0.3,0.1736671777161
2,0.8,0.8,300,0.2,0.01,0.14676985517613889
2,0.8,0.8,300,0.2,0.1,0.15314074905476163
2,0.8,0.8,300,0.2,0.3,0.17362470223563006
2,0.8,0.9,100,0,0.01,0.16691488432889484
2,0.8,0.9,100,0,0.1,0.1449660916471874
2,0.8,0.9,100,0,0.3,0.15969846729202816
2,0.8,0.9,100,0.1,0.01,0.16691488432889484
2,0.8,0.9,100,0.1,0.1,0.14500890765479985
2,0.8,0.9,100,0.1,0.3,0.15969846729202816
2,0.8,0.9,100,0.2,0.01,0.16691488432889484
2,0.8,0.9,100,0.2,0.1,0.14500890765479985
2,0.8,0.9,100,0.2,0.3,0.15969846729202816
2,0.8,0.9,200,0,0.01,0.15129068925595757
2,0.8,0.9,200,0,0.1,0.14878300739905126
2,0.8,0.9,200,0,0.3,0.16906304866700453
2,0.8,0.9,200,0.1,0.01,0.15129068925595757
2,0.8,0.9,200,0.1,0.1,0.1492134641313653
2,0.8,0.9,200,0.1,0.3,0.16942693543667442
2,0.8,0.9,200,0.2,0.01,0.15129068925595757
2,0.8,0.9,200,0.2,0.1,0.1492134641313653
2,0.8,0.9,200,0.2,0.3,0.16942693543667442
2,0.8,0.9,300,0,0.01,0.14677710147537834
2,0.8,0.9,300,0,0.1,0.15435377971691866
2,0.8,0.9,300,0,0.3,0.17478094040340636
2,0.8,0.9,300,0.1,0.01,0.14677710147537834
2,0.8,0.9,300,0.1,0.1,0.15540290571826504
2,0.8,0.9,300,0.1,0.3,0.17650310096340185
2,0.8,0.9,300,0.2,0.01,0.14677710147537834
2,0.8,0.9,300,0.2,0.1,0.15540290571826504
2,0.8,0.9,300,0.2,0.3,0.17593480968522407
2,0.8,1.0,100,0,0.01,0.1669001893488326
2,0.8,1.0,100,0,0.1,0.14549632192360484
2,0.8,1.0,100,0,0.3,0.15469353645454012
2,0.8,1.0,100,0.1,0.01,0.1669001893488326
2,0.8,1.0,100,0.1,0.1,0.14549632192360484
2,0.8,1.0,100,0.1,0.3,0.15559219913210737
2,0.8,1.0,100,0.2,0.01,0.1669001893488326
2,0.8,1.0,100,0.2,0.1,0.14549562319547849
2,0.8,1.0,100,0.2,0.3,0.15829540579425427
2,0.8,1.0,200,0,0.01,0.15131305171622364
2,0.8,1.0,200,0,0.1,0.14929341987648426
2,0.8,1.0,200,0,0.3,0.1684736072147541
2,0.8,1.0,200,0.1,0.01,0.15131305171622364
2,0.8,1.0,200,0.1,0.1,0.14915776531143032
2,0.8,1.0,200,0.1,0.3,0.16850267824236848
2,0.8,1.0,200,0.2,0.01,0.15131305171622364
2,0.8,1.0,200,0.2,0.1,0.148897257144327
2,0.8,1.0,200,0.2,0.3,0.16931148078894365
2,0.8,1.0,300,0,0.01,0.1468180440677832
2,0.8,1.0,300,0,0.1,0.15490302923145227
2,0.8,1.0,300,0,0.3,0.17638149819230997
2,0.8,1.0,300,0.1,0.01,0.1468180440677832
2,0.8,1.0,300,0.1,0.1,0.15493076325696362
2,0.8,1.0,300,0.1,0.3,0.17580245205500244
2,0.8,1.0,300,0.2,0.01,0.1468180440677832
2,0.8,1.0,300,0.2,0.1,0.15449054899910686
2,0.8,1.0,300,0.2,0.3,0.18072313285263172
2,0.9,0.8,100,0,0.01,0.16719376682700351
2,0.9,0.8,100,0,0.1,0.14451653878575377
2,0.9,0.8,100,0,0.3,0.1555023744326433
2,0.9,0.8,100,0.1,0.01,0.16719376682700351
2,0.9,0.8,100,0.1,0.1,0.1442816333789669
2,0.9,0.8,100,0.1,0.3,0.15522300065415792
2,0.9,0.8,100,0.2,0.01,0.16719376682700351
2,0.9,0.8,100,0.2,0.1,0.1442816333789669
2,0.9,0.8,100,0.2,0.3,0.15570526174305704
2,0.9,0.8,200,0,0.01,0.1511010794420961
2,0.9,0.8,200,0,0.1,0.1469965066732673
2,0.9,0.8,200,0,0.3,0.16652114911582483
2,0.9,0.8,200,0.1,0.01,0.1511010794420961
2,0.9,0.8,200,0.1,0.1,0.1470120989060062
2,0.9,0.8,200,0.1,0.3,0.16602933702607875
2,0.9,0.8,200,0.2,0.01,0.1511010794420961
2,0.9,0.8,200,0.2,0.1,0.1469567332526764
2,0.9,0.8,200,0.2,0.3,0.16567026666781653
2,0.9,0.8,300,0,0.01,0.1465134927479229
2,0.9,0.8,300,0,0.1,0.151969641798609
2,0.9,0.8,300,0,0.3,0.17405813073937632
2,0.9,0.8,300,0.1,0.01,0.1465134927479229
2,0.9,0.8,300,0.1,0.1,0.15219964494536556
2,0.9,0.8,300,0.1,0.3,0.17303673667583624
2,0.9,0.8,300,0.2,0.01,0.1465134927479229
2,0.9,0.8,300,0.2,0.1,0.15241651386040403
2,0.9,0.8,300,0.2,0.3,0.17358336026451587
2,0.9,0.9,100,0,0.01,0.16702570150405185
2,0.9,0.9,100,0,0.1,0.14453604137595674
2,0.9,0.9,100,0,0.3,0.15707735147453936
2,0.9,0.9,100,0.1,0.01,0.16702570150405185
2,0.9,0.9,100,0.1,0.1,0.14446254953959628
2,0.9,0.9,100,0.1,0.3,0.15600227414454865
2,0.9,0.9,100,0.2,0.01,0.16702570150405185
2,0.9,0.9,100,0.2,0.1,0.14446048618353818
2,0.9,0.9,100,0.2,0.3,0.15609924174705883
2,0.9,0.9,200,0,0.01,0.15138714618624088
2,0.9,0.9,200,0,0.1,0.14856833882587125
2,0.9,0.9,200,0,0.3,0.16688899462065182
2,0.9,0.9,200,0.1,0.01,0.15138714618624088
2,0.9,0.9,200,0.1,0.1,0.14880832985069595
2,0.9,0.9,200,0.1,0.3,0.1655872183679841
2,0.9,0.9,200,0.2,0.01,0.15138714618624088
2,0.9,0.9,200,0.2,0.1,0.1485180448975669
2,0.9,0.9,200,0.2,0.3,0.16570971247815264
2,0.9,0.9,300,0,0.01,0.14683123818707536
2,0.9,0.9,300,0,0.1,0.15374008923911375
2,0.9,0.9,300,0,0.3,0.17439815998412617
2,0.9,0.9,300,0.1,0.01,0.14683123818707536
2,0.9,0.9,300,0.1,0.1,0.1538173620641772
2,0.9,0.9,300,0.1,0.3,0.1735932734832813
2,0.9,0.9,300,0.2,0.01,0.14683123818707536
2,0.9,0.9,300,0.2,0.1,0.15365568750545652
2,0.9,0.9,300,0.2,0.3,0.17399287106856887
2,0.9,1.0,100,0,0.01,0.16714574259145376
2,0.9,1.0,100,0,0.1,0.14510377971678676
2,0.9,1.0,100,0,0.3,0.15911882062226904
2,0.9,1.0,100,0.1,0.01,0.16714574259145376
2,0.9,1.0,100,0.1,0.1,0.14510377971678676
2,0.9,1.0,100,0.1,0.3,0.15896019703588737
2,0.9,1.0,100,0.2,0.01,0.16714574259145376
2,0.9,1.0,100,0.2,0.1,0.145110087421729
2,0.9,1.0,100,0.2,0.3,0.15691833262167926
2,0.9,1.0,200,0,0.01,0.15144455233548776
2,0.9,1.0,200,0,0.1,0.14890900452880088
2,0.9,1.0,200,0,0.3,0.1682352101641261
2,0.9,1.0,200,0.1,0.01,0.15144455233548776
2,0.9,1.0,200,0.1,0.1,0.14880545965730727
2,0.9,1.0,200,0.1,0.3,0.16827070354647464
2,0.9,1.0,200,0.2,0.01,0.15144455233548776
2,0.9,1.0,200,0.2,0.1,0.14944448919908848
2,0.9,1.0,200,0.2,0.3,0.16542984093456292
2,0.9,1.0,300,0,0.01,0.1468267669243832
2,0.9,1.0,300,0,0.1,0.15251999078392006
2,0.9,1.0,300,0,0.3,0.174209118116119
2,0.9,1.0,300,0.1,0.01,0.1468267669243832
2,0.9,1.0,300,0.1,0.1,0.1529550233315194
2,0.9,1.0,300,0.1,0.3,0.17641804169131275
2,0.9,1.0,300,0.2,0.01,0.1468267669243832
2,0.9,1.0,300,0.2,0.1,0.15390147314189112
2,0.9,1.0,300,0.2,0.3,0.1738116762026101
2,1.0,0.8,100,0,0.01,0.16717535671937864
2,1.0,0.8,100,0,0.1,0.145820221368718
2,1.0,0.8,100,0,0.3,0.15414275530011437
2,1.0,0.8,100,0.1,0.01,0.16717535671937864
2,1.0,0.8,100,0.1,0.1,0.14580306223614958
2,1.0,0.8,100,0.1,0.3,0.15439189608477466
2,1.0,0.8,100,0.2,0.01,0.16717535671937864
2,1.0,0.8,100,0.2,0.1,0.14580572814031859
2,1.0,0.8,100,0.2,0.3,0.15441146726000293
2,1.0,0.8,200,0,0.01,0.15159385085261728
2,1.0,0.8,200,0,0.1,0.14933502129600562
2,1.0,0.8,200,0,0.3,0.16659820990534757
2,1.0,0.8,200,0.1,0.01,0.15159385085261728
2,1.0,0.8,200,0.1,0.1,0.14993279250858502
2,1.0,0.8,200,0.1,0.3,0.16366414077632546
2,1.0,0.8,200,0.2,0.01,0.15159385085261728
2,1.0,0.8,200,0.2,0.1,0.1497434631459646
2,1.0,0.8,200,0.2,0.3,0.16218509476554027
2,1.0,0.8,300,0,0.01,0.14714469352515583
2,1.0,0.8,300,0,0.1,0.15276775698558756
2,1.0,0.8,300,0,0.3,0.17413074535413683
2,1.0,0.8,300,0.1,0.01,0.14714469352515583
2,1.0,0.8,300,0.1,0.1,0.15366083655795398
2,1.0,0.8,300,0.1,0.3,0.17188899976223238
2,1.0,0.8,300,0.2,0.01,0.14714469352515583
2,1.0,0.8,300,0.2,0.1,0.15353133486591636
2,1.0,0.8,300,0.2,0.3,0.17118560579876246
2,1.0,0.9,100,0,0.01,0.16725825245278955
2,1.0,0.9,100,0,0.1,0.1453399256901797
2,1.0,0.9,100,0,0.3,0.15396454985895355
2,1.0,0.9,100,0.1,0.01,0.16725825245278955
2,1.0,0.9,100,0.1,0.1,0.14531299304555695
2,1.0,0.9,100,0.1,0.3,0.15425341989643454
2,1.0,0.9,100,0.2,0.01,0.16725825245278955
2,1.0,0.9,100,0.2,0.1,0.14521643475513532
2,1.0,0.9,100,0.2,0.3,0.15419480225087162
2,1.0,0.9,200,0,0.01,0.15192043307223627
2,1.0,0.9,200,0,0.1,0.14844569431656449
2,1.0,0.9,200,0,0.3,0.16293612888391434
2,1.0,0.9,200,0.1,0.01,0.15192043307223627
2,1.0,0.9,200,0.1,0.1,0.1484779031246251
2,1.0,0.9,200,0.1,0.3,0.1649170840337037
2,1.0,0.9,200,0.2,0.01,0.15192043307223627
2,1.0,0.9,200,0.2,0.1,0.14839784059949604
2,1.0,0.9,200,0.2,0.3,0.1638709706947505
2,1.0,0.9,300,0,0.01,0.14734078803755488
2,1.0,0.9,300,0,0.1,0.1516933333274137
2,1.0,0.9,300,0,0.3,0.17029864217687188
2,1.0,0.9,300,0.1,0.01,0.14734078803755488
2,1.0,0.9,300,0.1,0.1,0.15155933316572054
2,1.0,0.9,300,0.1,0.3,0.17324988923807308
2,1.0,0.9,300,0.2,0.01,0.14734078803755488
2,1.0,0.9,300,0.2,0.1,0.15208039391974912
2,1.0,0.9,300,0.2,0.3,0.17208051207203384
2,1.0,1.0,100,0,0.01,0.16754215298383018
2,1.0,1.0,100,0,0.1,0.1457189423744711
