max_depth,subsample,colsample_bytree,n_estimators,gamma,learning_rate,brier_score
3,0.8,0.8,200,0.2,0.1,0.20234807482913633
3,0.8,0.8,200,0.2,0.3,0.23086237207910426
3,0.8,0.8,300,0,0.01,0.19622034949042697
3,0.8,0.8,300,0,0.1,0.20765822738148315
3,0.8,0.8,300,0,0.3,0.24075569646718198
3,0.8,0.8,300,0.1,0.01,0.19622059165728026
3,0.8,0.8,300,0.1,0.1,0.20794501290293682
3,0.8,0.8,300,0.1,0.3,0.23949925170975722
3,0.8,0.8,300,0.2,0.01,0.19622059165728026
3,0.8,0.8,300,0.2,0.1,0.20705663543771607
3,0.8,0.8,300,0.2,0.3,0.2421528183405519
3,0.8,0.9,200,0,0.01,0.19710880899558378
3,0.8,0.9,200,0,0.1,0.2027740704855054
3,0.8,0.9,200,0,0.3,0.23126379512163556
3,0.8,0.9,200,0.1,0.01,0.19710880899558378
3,0.8,0.9,200,0.1,0.1,0.20189479152575718
3,0.8,0.9,200,0.1,0.3,0.22813293302951915
3,0.8,0.9,200,0.2,0.01,0.19710880899558378
3,0.8,0.9,200,0.2,0.1,0.20192558269024055
3,0.8,0.9,200,0.2,0.3,0.22898307770429982
3,0.8,0.9,300,0,0.01,0.19591680779927637
3,0.8,0.9,300,0,0.1,0.20792648342398007
3,0.8,0.9,300,0,0.3,0.2423087958726101
3,0.8,0.9,300,0.1,0.01,0.19591676226711996
3,0.8,0.9,300,0.1,0.1,0.20742225730180258
3,0.8,0.9,300,0.1,0.3,0.2393803624062132
3,0.8,0.9,300,0.2,0.01,0.19591676226711996
3,0.8,0.9,300,0.2,0.1,0.2070316433659935
3,0.8,0.9,300,0.2,0.3,0.23895803835309687
3,0.8,1.0,200,0,0.01,0.1974767299612606
3,0.8,1.0,200,0,0.1,0.20530105514446334
3,0.8,1.0,200,0,0.3,0.2288051473144097
3,0.8,1.0,200,0.1,0.01,0.1974767299612606
3,0.8,1.0,200,0.1,0.1,0.20625971310693297
3,0.8,1.0,200,0.1,0.3,0.22963735718502973
3,0.8,1.0,200,0.2,0.01,0.1974767299612606
3,0.8,1.0,200,0.2,0.1,0.20667375483338585
3,0.8,1.0,200,0.2,0.3,0.22800128215273663
3,0.8,1.0,300,0,0.01,0.19639328086345334
3,0.8,1.0,300,0,0.1,0.20980204644619982
3,0.8,1.0,300,0,0.3,0.24064373635106592
3,0.8,1.0,300,0.1,0.01,0.19639328086345334
3,0.8,1.0,300,0.1,0.1,0.21051270413718845
3,0.8,1.0,300,0.1,0.3,0.2393089836525934
3,0.8,1.0,300,0.2,0.01,0.19639328086345334
3,0.8,1.0,300,0.2,0.1,0.21086785616144937
3,0.8,1.0,300,0.2,0.3,0.24026565045484452
3,0.9,0.8,200,0,0.01,0.1971916827656633
3,0.9,0.8,200,0,0.1,0.20222808270164294
3,0.9,0.8,200,0,0.3,0.22454058097290613
3,0.9,0.8,200,0.1,0.01,0.1971916827656633
3,0.9,0.8,200,0.1,0.1,0.20167477653858742
3,0.9,0.8,200,0.1,0.3,0.22566564246537882
3,0.9,0.8,200,0.2,0.01,0.1971916827656633
3,0.9,0.8,200,0.2,0.1,0.20371432828754954
3,0.9,0.8,200,0.2,0.3,0.2241549651994193
3,0.9,0.8,300,0,0.01,0.19624049293467496
3,0.9,0.8,300,0,0.1,0.20529731242019417
3,0.9,0.8,300,0,0.3,0.2347209928926163
3,0.9,0.8,300,0.1,0.01,0.1962404500578599
3,0.9,0.8,300,0.1,0.1,0.2065622210400527
3,0.9,0.8,300,0.1,0.3,0.23719612824217623
3,0.9,0.8,300,0.2,0.01,0.1962404500578599
3,0.9,0.8,300,0.2,0.1,0.20794783185884042
3,0.9,0.8,300,0.2,0.3,0.23584718343355981
3,0.9,0.9,200,0,0.01,0.19725684697850723
3,0.9,0.9,200,0,0.1,0.20379556921618353
3,0.9,0.9,200,0,0.3,0.22737892363222426
3,0.9,0.9,200,0.1,0.01,0.19725684697850723
3,0.9,0.9,200,0.1,0.1,0.20322371341359954
3,0.9,0.9,200,0.1,0.3,0.2256614773173474
3,0.9,0.9,200,0.2,0.01,0.19725684697850723
3,0.9,0.9,200,0.2,0.1,0.20326743958589497
3,0.9,0.9,200,0.2,0.3,0.22755019954663364
3,0.9,0.9,300,0,0.01,0.19637290542698538
3,0.9,0.9,300,0,0.1,0.2068335602100332
3,0.9,0.9,300,0,0.3,0.235628700875554
3,0.9,0.9,300,0.1,0.01,0.19637286090876332
3,0.9,0.9,300,0.1,0.1,0.2078883289542813
3,0.9,0.9,300,0.1,0.3,0.23488211811533657
3,0.9,0.9,300,0.2,0.01,0.19637286090876332
3,0.9,0.9,300,0.2,0.1,0.2074230166316547
3,0.9,0.9,300,0.2,0.3,0.2381923798598944
3,0.9,1.0,200,0,0.01,0.19737844046109754
3,0.9,1.0,200,0,0.1,0.20337405463582853
3,0.9,1.0,200,0,0.3,0.22519154096750085
3,0.9,1.0,200,0.1,0.01,0.19737844046109754
3,0.9,1.0,200,0.1,0.1,0.20237329215435831
